,Rain,RH (%),TD (degC),TDmax (degC),TDmin (degC),Wind_x,Wind_y,Gust_x,Gust_y,STDwd (deg),Average Percentage,Earliest Year
Qarne Shomeron,2.2,1.2,0.5,1.4,1.4,1.1,1.1,1.1,1.1,1.1,1.2,2000
Tavor Kadoorie,0.8,10.5,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,1.2,2000
Afula Nir Haemeq,1.7,6.9,0.1,0.1,0.1,0.8,0.8,0.8,0.8,0.2,1.2,2000
Zomet Hanegev,9.6,0.9,0.4,0.5,0.5,0.3,0.3,0.3,0.3,0.2,1.3,2003
Nahshon,0.3,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.4,1.4,2006
Sede Boqer,0.0,4.5,0.3,0.3,0.3,1.7,1.7,1.7,1.7,1.6,1.4,2002
En Karmel,0.8,9.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.4,2000
Shani,2.8,5.8,0.2,0.2,0.2,1.1,1.1,1.1,1.1,1.1,1.5,2000
Merom Golan Picman,3.0,6.5,0.0,0.1,0.1,1.2,1.2,1.2,1.2,0.7,1.5,2000
Gilgal,0.7,0.3,0.4,0.4,0.4,2.8,2.8,2.8,2.8,2.2,1.6,2000
Negba,0.0,0.6,0.4,0.4,0.4,0.4,0.4,7.4,7.4,0.7,1.8,2001
Arad,2.5,10.9,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,1.8,2000
Besor Farm,1.4,9.6,1.4,1.4,1.4,0.7,0.7,0.7,0.7,0.9,1.9,2000
Elon,7.9,10.1,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,2.1,2000
Itamar,3.9,1.1,0.1,0.1,0.1,3.3,3.3,3.3,3.3,3.1,2.2,2002
Jerusalem Centre,0.1,23.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,2.5,2000
Bet Dagan,0.2,22.4,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.4,2.6,2000
Har Harasha,2.0,0.4,0.3,0.3,0.3,5.0,5.0,4.7,4.7,4.8,2.8,2001
Bet Zayda,2.0,5.6,0.4,0.4,0.4,4.8,4.8,4.8,4.8,0.5,2.8,2000
Hadera Port,25.3,1.7,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,2.9,2000
Yavneel,3.1,8.9,2.3,2.5,2.5,2.5,2.5,2.4,2.4,2.4,3.1,2000
Rosh Zurim,3.8,4.2,0.3,3.7,3.7,4.0,4.0,4.0,4.0,3.7,3.5,2000
Ariel,3.2,3.0,2.9,2.9,2.9,5.2,5.2,5.6,5.6,3.8,4.0,2000
Netiv Halamed He,1.1,10.3,0.5,0.5,0.5,6.1,6.1,6.1,6.1,4.3,4.2,2000
Yotvata,41.8,6.2,0.6,0.7,0.7,0.3,0.3,0.4,0.4,0.3,5.2,2000
Dorot,6.2,5.7,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.3,5.4,2000
Rosh Haniqra,20.3,9.2,0.9,0.9,0.9,4.5,4.5,4.5,4.5,4.4,5.5,2003
Eden Farm,5.4,6.2,5.6,5.7,5.7,5.3,5.3,5.4,5.4,5.2,5.5,2000
Haifa University,4.4,9.0,6.5,6.6,6.8,4.7,4.7,4.7,4.7,4.2,5.6,2000
Sedom,0.2,11.2,0.6,14.5,14.5,0.3,0.3,8.1,8.1,0.3,5.8,2000
Zikhron Yaaqov,0.8,5.9,0.5,0.5,0.5,10.7,10.7,10.7,10.7,7.1,5.8,2000
Hazeva,37.2,27.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.5,2000
Zemah,0.6,1.9,0.7,10.9,10.8,1.9,1.9,12.2,12.2,12.1,6.5,2000
Elat,12.0,11.1,0.1,0.1,0.1,10.1,10.1,10.2,10.2,10.2,7.4,2000
Jerusalem Givat Ram,5.3,13.5,8.1,13.0,13.0,2.6,2.6,7.9,7.9,2.6,7.6,2000
Afeq,4.3,11.0,1.8,1.9,1.8,12.2,12.2,12.2,12.2,12.1,8.2,2000
Zefat Har Kenaan,11.2,11.4,1.6,4.6,4.7,8.1,8.1,13.4,13.4,8.0,8.4,2000
Harashim,1.0,3.7,0.3,0.3,0.3,16.1,16.1,15.8,15.8,15.9,8.5,2008
Paran,8.7,9.2,9.3,9.3,9.3,8.8,8.8,8.8,8.8,8.8,9.0,2004
Haifa Technion,29.9,12.3,0.4,0.4,0.4,25.5,25.5,25.8,25.8,25.6,17.2,2000
Deir Hanna,1.1,2.0,1.9,1.9,1.9,36.2,36.2,36.6,36.6,35.9,19.0,2002
Ammiad,8.0,1.3,1.3,1.6,1.6,45.3,45.3,45.3,45.3,45.2,24.0,2004
Ashdod Port,1.6,3.5,0.7,0.7,0.7,51.4,51.4,51.5,51.5,50.8,26.4,2000
