,Rain,RH (%),TD (degC),TDmax (degC),TDmin (degC),Wind_x,Wind_y,Gust_x,Gust_y,STDwd (deg),Average Percentage,Earliest Year
Jerusalem Centre,0.1,3.7,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.1,0.5,2005
Metzoke Dragot,0.0,0.9,1.2,1.2,1.2,0.3,0.3,0.3,0.3,0.2,0.6,2006
Afula Nir Haemeq,1.7,0.2,0.1,0.1,0.1,1.0,1.0,1.0,1.0,0.1,0.6,2005
Shave Ziyyon,0.5,2.7,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6,2009
Bet Zayda,1.7,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.0,0.6,2005
Ezuz,0.0,1.3,1.3,1.3,1.3,0.3,0.3,0.3,0.3,0.0,0.7,2009
Itamar,4.0,1.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.7,2005
Tel Yosef,0.6,0.3,1.4,1.5,1.5,0.3,0.3,0.3,0.3,0.3,0.7,2012
Ashqelon Port,0.7,3.9,0.3,0.3,0.3,0.1,0.1,0.2,0.2,0.9,0.7,2006
Zova,0.6,0.2,0.0,0.0,0.0,1.1,1.1,1.1,1.1,2.3,0.7,2005
Tel Aviv Coast,0.0,2.4,1.5,1.5,1.5,0.1,0.1,0.2,0.2,0.1,0.8,2005
Ashalim,0.7,0.8,0.1,0.2,0.1,0.1,0.1,0.1,0.1,5.6,0.8,2008
Rosh Zurim,3.3,1.0,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.2,0.8,2005
Zomet Hanegev,4.9,0.9,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.8,2005
Kefar Nahum,0.0,1.7,2.2,2.1,2.2,0.0,0.0,0.0,0.0,0.0,0.8,2006
Maale Gilboa,3.3,1.4,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.3,0.8,2006
Merom Golan Picman,2.8,0.3,0.0,0.0,0.0,1.4,1.4,1.3,1.3,0.7,0.9,2005
Hadera Port,6.0,2.1,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,2005
Neot Smadar,5.4,0.2,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5,1.0,2006
Elon,6.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,2005
Sede Boqer,0.0,0.3,0.3,0.3,0.3,1.9,1.9,1.9,1.9,1.7,1.0,2005
Afeq,1.3,2.8,0.7,0.7,0.7,1.0,1.0,1.0,1.0,0.9,1.1,2005
Beer Sheva University,0.0,0.1,0.1,0.1,0.1,2.3,2.3,2.3,2.3,2.3,1.2,2022
Shani,3.5,0.8,0.2,0.2,0.2,1.4,1.4,1.4,1.4,1.3,1.2,2005
Kefar Giladi,2.4,0.4,0.1,0.1,0.1,1.8,1.8,1.8,1.8,1.7,1.2,2006
Gilgal,0.8,0.1,0.5,0.5,0.5,2.1,2.1,2.1,2.1,1.5,1.2,2005
Nahshon,0.3,1.5,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.4,1.4,2006
Zemah,0.3,1.1,0.8,0.9,0.8,2.4,2.4,2.5,2.5,2.4,1.6,2005
Haifa University,0.6,5.4,3.2,3.2,3.2,0.4,0.4,0.4,0.4,0.2,1.7,2005
Sedom,0.2,1.1,0.6,8.2,8.2,0.4,0.4,0.5,0.5,0.4,2.0,2005
Negba,0.0,0.7,0.5,0.5,0.5,0.4,0.4,8.9,8.9,0.5,2.1,2005
Hazeva,20.6,8.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.9,2005
Yotvata,26.6,0.8,0.6,0.6,0.6,0.3,0.3,0.4,0.4,0.3,3.1,2005
Zefat Har Kenaan,4.0,0.3,0.5,0.5,0.5,6.2,6.2,6.2,6.2,6.1,3.7,2005
Rosh Haniqra,14.4,9.9,1.0,1.0,1.0,4.6,4.6,4.6,4.6,4.6,5.0,2005
Paran,5.1,5.6,5.7,5.7,5.7,5.2,5.2,5.2,5.2,5.2,5.4,2005
Zikhron Yaaqov,0.4,0.8,0.3,0.3,0.3,13.1,13.1,13.1,13.1,8.6,6.3,2005
Elat,0.0,0.7,0.0,0.0,0.0,12.6,12.6,12.6,12.6,12.6,6.4,2005
Harashim,1.0,3.7,0.3,0.3,0.3,16.1,16.1,15.8,15.8,15.9,8.5,2008
Haifa Technion,11.5,2.2,0.3,0.3,0.3,32.1,32.1,32.4,32.4,32.1,17.6,2005
Deir Hanna,1.3,2.2,2.2,2.2,2.2,40.6,40.6,41.0,41.0,40.2,21.3,2005
Ammiad,6.1,1.3,1.3,1.7,1.7,46.9,46.9,47.0,47.0,46.9,24.7,2005
Ashdod Port,1.6,3.3,0.5,0.5,0.5,52.4,52.4,52.4,52.4,52.0,26.8,2005
