,Rain,RH (%),TD (degC),TDmax (degC),TDmin (degC),WD (deg),WDmax (deg),WS (m/s),WSmax (m/s),STDwd (deg),Average Percentage,Earliest Year
Sedom.csv,0.2,11.2,0.6,14.5,14.5,0.3,8.0,0.3,8.1,0.3,5.8,2000
Zemah.csv,0.6,1.9,0.7,10.9,10.8,1.9,12.2,1.1,11.5,12.1,6.3,2000
Hazeva.csv,37.2,27.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.5,2000
Jerusalem Givat Ram.csv,5.3,13.5,8.1,13.0,13.0,0.6,5.4,2.6,7.9,2.6,7.2,2000
Elat.csv,12.0,11.1,0.1,0.1,0.1,10.1,10.1,10.1,10.2,10.2,7.4,2000
Zefat Har Kenaan.csv,11.2,11.4,1.6,4.6,4.7,8.0,13.4,8.0,8.7,8.0,8.0,2000
Afeq.csv,4.3,11.0,1.9,1.9,1.9,12.2,12.2,11.6,11.6,12.1,8.1,2000
Harashim.csv,1.0,3.7,0.3,0.3,0.3,16.0,15.6,15.6,15.6,15.9,8.4,2008
Paran.csv,8.7,9.2,9.3,9.3,9.3,8.8,8.8,8.8,8.8,8.8,9.0,2004
Haifa Technion.csv,29.9,12.3,0.4,0.4,0.4,25.5,25.6,25.5,25.8,25.6,17.1,2000
Deir Hanna.csv,1.1,2.0,1.9,1.9,1.9,35.9,35.9,36.2,36.6,35.9,18.9,2002
Ammiad.csv,8.0,1.3,1.3,1.6,1.6,45.2,45.2,45.3,45.3,45.2,24.0,2004
Ashdod Port.csv,1.6,3.5,0.7,0.7,0.7,51.4,51.4,50.8,50.8,50.8,26.2,2000
