,Date Time,RH (%),Rain,STDwd (deg),TD (degC),TDmax (degC),TDmin (degC),WD (deg),WDmax (deg),WS (m/s),WSmax (m/s),Ws10mm (m/s),Ws1mm (m/s),Average Percentage,Row Count
Nizzan,0.0,2.8,0.4,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,4.5,0.0,0.8,15.0
En Hashofet,0.0,5.6,0.6,0.2,0.0,0.0,0.0,0.2,0.2,0.3,0.3,2.9,0.3,0.8,24.0
Negba,0.0,0.6,0.0,0.7,0.4,0.4,0.4,0.4,0.4,0.3,7.4,0.3,0.3,0.9,22.6
Nahshon,0.0,1.5,0.3,1.4,1.4,1.4,1.4,1.5,1.5,0.3,0.3,0.2,0.2,0.9,15.9
Kefar Nahum,0.0,1.7,0.0,0.0,2.2,2.1,2.2,0.0,0.0,0.0,0.0,3.6,0.0,0.9,16.4
Avne Etan,0.0,3.0,0.3,0.6,0.1,0.1,0.1,0.9,0.9,0.6,0.7,3.1,3.1,1.0,23.9
Zomet Hanegev,0.0,0.9,9.6,0.2,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,1.0,20.0
Neot Smadar,0.0,0.2,5.4,0.5,0.4,0.4,0.4,0.5,0.6,0.5,0.5,1.4,2.9,1.1,16.4
Sede Boqer,0.0,4.5,0.0,1.6,0.3,0.3,0.3,1.6,1.6,0.9,1.0,0.9,1.4,1.1,21.2
Zova,0.0,0.2,0.6,2.3,0.0,0.0,0.0,1.1,1.1,1.1,1.1,5.8,1.1,1.1,18.6
Qarne Shomeron,0.0,1.2,2.2,1.1,0.5,1.4,1.4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,22.6
Kefar Giladi,0.0,0.4,2.4,1.7,0.1,0.1,0.1,1.8,1.8,1.6,1.6,1.4,1.4,1.1,16.1
Merom Golan Picman,0.0,6.5,3.0,0.7,0.0,0.1,0.1,1.1,1.2,0.5,0.5,0.6,0.5,1.1,23.8
Har Harasha,0.0,0.4,2.0,4.8,0.3,0.3,0.3,5.0,4.7,0.3,0.3,0.3,0.3,1.5,22.0
Elon,0.0,10.1,7.9,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,1.7,23.7
Itamar,0.0,1.1,3.9,3.1,0.1,0.1,0.1,3.3,3.3,1.9,1.9,1.9,1.9,1.7,21.9
Gilgal,0.0,0.3,0.7,2.2,0.4,0.4,0.4,2.6,1.7,2.4,2.4,7.6,1.9,1.8,23.6
En Karmel,0.0,9.4,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,4.7,4.7,1.8,24.0
Jerusalem Centre,0.0,23.7,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,2.0,24.0
Bet Dagan,0.0,22.4,0.2,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.7,2.1,24.0
Besor Farm,0.0,9.6,1.4,0.9,1.4,1.4,1.4,0.7,0.7,0.7,0.7,4.9,4.9,2.2,23.8
Bet Zayda,0.0,5.6,2.0,0.5,0.4,0.4,0.4,4.8,4.8,0.9,0.9,6.1,6.1,2.5,23.7
Shani,0.0,5.8,2.8,1.1,0.2,0.2,0.2,1.1,1.1,0.1,0.1,23.7,0.1,2.8,23.8
Yavneel,0.0,8.9,3.1,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.4,5.6,0.3,2.9,23.9
Rosh Zurim,0.0,4.2,3.8,3.7,0.3,3.7,3.7,4.0,4.0,3.6,3.4,3.4,3.4,3.2,23.1
Arad,0.0,10.9,2.5,0.5,0.7,0.7,0.7,0.6,0.6,0.5,0.5,24.1,0.6,3.3,23.9
Netiv Halamed He,0.0,10.3,1.1,4.3,0.5,0.5,0.5,4.6,4.6,3.5,3.5,5.9,5.9,3.5,23.9
Ariel,0.0,3.0,3.2,3.8,2.9,2.9,3.0,5.2,5.6,3.7,3.7,3.7,4.6,3.5,23.8
Beer Sheva University,0.0,0.1,0.0,2.3,0.1,0.1,0.1,2.3,2.3,2.3,2.3,32.9,2.3,3.6,1.0
Rosh Haniqra,0.0,9.2,20.3,4.4,0.9,0.9,0.9,4.5,4.5,3.3,3.3,3.3,3.3,4.5,20.2
Eden Farm,0.0,6.2,5.4,5.2,5.6,5.7,5.7,5.3,5.4,0.1,5.3,5.3,9.4,5.0,19.0
Haifa University,0.0,9.0,4.4,4.2,6.5,6.6,6.8,4.3,4.3,4.5,4.5,4.6,4.8,5.0,23.7
Dorot,0.0,5.7,6.2,5.3,5.3,5.3,5.3,5.3,5.2,5.2,5.2,7.6,5.2,5.1,22.1
Tavor Kadoorie,0.0,10.5,0.8,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,28.1,28.1,5.3,23.9
Sedom,0.0,11.2,0.2,0.3,0.6,14.5,14.5,0.3,8.0,0.3,8.1,8.0,8.1,5.7,23.8
Zikhron Yaaqov,0.0,5.9,0.8,7.1,0.5,0.5,0.5,7.1,7.1,10.7,10.7,16.9,10.7,6.0,23.8
Yotvata,0.0,6.2,41.8,0.3,0.6,0.7,0.7,0.3,0.4,0.3,0.3,29.4,0.3,6.2,23.9
Zemah,0.0,1.9,0.6,12.1,0.7,10.9,10.8,1.9,12.2,1.1,11.5,11.5,11.5,6.7,23.9
Jerusalem Givat Ram,0.0,13.5,5.3,2.6,8.1,13.0,13.0,0.6,5.4,2.6,7.9,7.3,7.3,6.7,23.9
Elat,0.0,11.1,12.0,10.2,0.1,0.1,0.1,10.1,10.1,10.1,10.2,22.1,10.1,8.2,23.9
Zefat Har Kenaan,0.0,11.4,11.2,8.0,1.6,4.6,4.7,8.0,13.4,8.0,8.7,13.4,13.4,8.2,23.9
Paran,0.0,9.2,8.7,8.8,9.3,9.3,9.3,8.8,8.8,8.8,8.8,8.8,8.8,8.2,19.7
Hadera Port,0.0,1.7,25.3,0.1,0.4,0.4,0.4,0.1,0.1,0.1,0.1,41.9,41.9,8.7,23.8
Afeq,0.0,11.0,4.3,12.1,1.9,1.9,1.9,12.2,12.2,11.6,11.6,20.9,11.6,8.7,23.6
Harashim,0.0,3.7,1.0,15.9,0.3,0.3,0.3,16.0,15.6,15.6,15.6,15.6,15.6,8.9,15.3
Afula Nir Haemeq,0.0,6.9,1.7,0.2,0.1,0.1,0.1,0.8,0.7,0.2,0.2,66.3,62.5,10.8,24.0
Haifa Technion,0.0,12.3,29.9,25.6,0.4,0.4,0.4,25.5,25.6,25.5,25.8,25.5,26.6,17.2,24.0
Deir Hanna,0.0,2.0,1.1,35.9,1.9,1.9,1.9,35.9,35.9,36.2,36.6,36.6,36.6,20.2,18.8
Hazeva,0.0,27.1,37.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,100.0,100.0,20.4,23.8
Ammiad,0.0,1.3,8.0,45.2,1.3,1.6,1.6,45.2,45.2,45.3,45.3,45.2,45.2,25.4,19.7
Ashdod Port,0.0,3.5,1.6,50.8,0.7,0.7,0.7,51.4,51.4,50.8,50.8,50.8,50.8,28.0,19.5
Massada,0.0,0.5,0.4,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,53.9,13.0
Lahav,0.0,1.0,0.4,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,13.5
Ayyelet Hashahar,0.0,0.4,1.1,100.0,0.1,0.1,0.1,100.0,100.0,100.0,100.0,100.0,100.0,54.0,13.2
Gat,0.0,1.6,0.2,100.0,0.1,0.1,0.1,100.0,100.0,100.0,100.0,100.0,100.0,54.0,16.1
Sede Eliyyahu,0.0,0.5,1.2,100.0,1.2,1.2,1.3,100.0,100.0,100.0,100.0,100.0,100.0,54.3,12.9
Beit Jimal,0.0,6.7,1.5,100.0,0.2,0.2,0.2,100.0,100.0,100.0,100.0,100.0,100.0,54.5,24.0
Haifa Refineries,0.0,6.7,3.2,100.0,0.2,0.2,0.2,100.0,100.0,100.0,100.0,100.0,100.0,54.6,24.0
En Hahoresh,0.0,0.7,9.9,100.0,0.2,0.2,0.2,100.0,100.0,100.0,100.0,100.0,100.0,54.7,20.3
Qevuzat Yavne,0.0,9.9,0.9,100.0,0.4,0.4,0.4,100.0,100.0,100.0,100.0,100.0,100.0,54.8,23.9
Hakfar Hayarok,0.0,1.6,4.0,100.0,1.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.8,25.9
